Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Scottie Scheffler,16,0.89,3,0.98,6,2.68,1,0.94,1,0.81,3,0.17,27,2.86,1
Rory McIlroy,36,0.71,7,0.76,9,1.74,2,0.74,4,0.27,14,0.49,16,2.24,2
Sungjae Im,24,0.39,17,0.24,25,0.86,18,0.32,20,0.23,18,0.86,6,1.73,3
Ben Griffin,4,0.83,4,- 1.12,63,0.82,19,- 0.14,47,1.11,1,0.75,8,1.61,4
Max Homa,20,0.33,20,0.92,7,0.95,15,0.63,9,- 0.30,52,0.54,15,1.51,5
Matt Fitzpatrick,32,0.33,21,- 0.19,45,0.42,29,0.07,34,0.27,13,1.01,3,1.44,6
Jason Day,25,0.38,18,- 0.32,48,0.58,25,0.03,35,0.53,5,0.77,7,1.36,7
Justin Thomas,8,0.56,11,0.65,13,1.22,7,0.61,11,0.01,27,0.01,33,1.24,8
Corey Conners,20,0.29,23,1.25,1,1.43,5,0.77,3,- 0.11,35,-0.23,45,1.21,9
Chris Kirk,30,0.17,31,0.26,23,0.94,16,0.22,26,0.50,7,0.25,23,1.20,10
Cameron Young,12,0.80,5,0.52,14,1.69,3,0.66,6,0.37,10,-0.52,56,1.18,11
Will Zalatoris,16,0.96,1,0.71,10,1.48,4,0.83,2,- 0.20,43,-0.34,48,1.16,12
Patrick Cantlay,8,0.95,2,- 0.02,36,0.81,20,0.46,15,- 0.12,36,0.30,20,1.12,13
Thomas Detry,4,0.08,40,- 0.15,43,0.93,17,- 0.03,43,0.98,2,0.19,26,1.11,14
Keegan Bradley,36,0.36,19,0.40,21,1.00,12,0.38,16,0.23,16,-0.03,39,0.99,15
Viktor Hovland,24,0.78,6,0.48,16,0.99,13,0.63,8,- 0.27,49,-0.02,38,0.98,16
Tom Hoge,20,0.09,39,1.16,3,1.06,10,0.63,10,- 0.20,42,-0.27,46,0.80,17
Christiaan Bezuidenhout,18,- 0.20,51,- 0.24,47,0.32,34,- 0.22,51,0.76,4,0.47,18,0.80,18
Billy Horschel,28,0.24,26,0.41,20,0.52,27,0.32,19,- 0.16,38,0.23,24,0.78,19
Jhonattan Vegas,8,0.09,38,0.10,30,0.19,36,0.10,33,- 0.01,29,0.58,13,0.77,20
Sahith Theegala,10,0.68,8,- 0.12,42,0.56,26,0.28,23,- 0.01,28,0.19,25,0.76,21
Hideki Matsuyama,34,0.29,22,0.69,11,1.20,8,0.49,13,0.18,20,-0.46,51,0.76,22
Russell Henley,18,0.11,35,0.19,28,0.80,21,0.15,28,0.49,8,-0.06,41,0.75,23
Tommy Fleetwood,28,0.27,25,- 0.06,38,0.72,23,0.11,31,0.51,6,0.00,34,0.75,24
Ludvig Aberg,8,0.40,16,- 0.40,52,- 0.32,48,- 0.00,38,- 0.31,53,1.05,2,0.74,25
Michael Kim,6,0.11,37,- 0.10,41,- 0.16,45,0.00,37,- 0.17,40,0.88,5,0.71,26
Justin Rose,26,0.19,30,0.46,18,0.67,24,0.33,18,- 0.03,31,-0.01,37,0.69,27
Byeong Hun An,29,0.63,10,0.48,17,1.34,6,0.55,12,0.24,15,-0.66,57,0.69,28
Xander Schauffele,12,0.12,34,- 0.17,44,- 0.12,42,- 0.03,42,- 0.07,32,0.75,9,0.63,29
Robert MacIntyre,4,- 0.08,48,- 0.06,39,- 0.83,56,- 0.07,44,- 0.69,62,1.38,1,0.59,30
Tony Finau,14,0.22,29,1.22,2,1.07,9,0.72,5,- 0.36,55,-0.49,53,0.58,31
Harris English,28,- 0.34,55,0.04,34,- 0.16,44,- 0.15,48,0.13,23,0.68,10,0.52,32
Adam Scott,20,0.55,12,- 0.34,50,0.35,31,0.11,30,0.14,22,0.08,31,0.45,33
Adam Hadwin,20,0.53,14,0.44,19,0.79,22,0.49,14,- 0.24,44,-0.49,54,0.33,34
Patrick Rodgers,32,0.00,44,- 0.33,49,- 0.22,46,- 0.17,49,0.07,25,0.48,17,0.27,35
Davis Thompson,8,0.65,9,- 0.36,51,0.04,37,0.15,29,- 0.28,50,0.15,28,0.21,36
Sam Burns,24,0.28,24,- 0.45,53,- 0.72,54,- 0.09,45,- 0.55,59,0.89,4,0.18,37
Lucas Glover,32,0.06,43,0.34,22,0.24,35,0.20,27,- 0.16,39,-0.22,44,0.02,38
Taylor Moore,12,0.07,42,- 0.87,58,- 0.68,53,- 0.40,56,0.12,24,0.67,11,0.02,39
Nick Taylor,18,0.17,32,- 0.20,46,- 0.06,39,- 0.02,40,- 0.03,30,0.06,32,0.02,40
Brian Harman,22,0.11,36,- 0.70,57,- 0.38,50,- 0.29,53,0.15,21,0.34,19,- 0.00,41
Wyndham Clark,14,- 0.47,58,0.51,15,- 0.36,49,0.02,36,- 0.40,56,0.29,21,- 0.03,42
Collin Morikawa,12,0.22,28,1.07,4,1.02,11,0.64,7,- 0.27,47,-1.11,60,- 0.08,43
Shane Lowry,14,0.50,15,0.10,31,0.33,33,0.30,22,- 0.27,48,-0.50,55,- 0.13,44
Austin Eckroat,4,- 0.55,59,1.03,5,0.35,32,0.24,24,- 0.14,37,-0.47,52,- 0.13,45
Stephan Jaeger,8,- 0.05,47,0.01,35,- 0.13,43,- 0.02,39,- 0.09,34,-0.04,40,- 0.16,46
Tom Kim,8,- 0.42,57,0.19,27,0.01,38,- 0.11,46,0.23,17,-0.32,47,- 0.26,47
Denny McCarthy,14,0.08,41,- 0.63,56,- 0.91,57,- 0.28,52,- 0.36,54,0.59,12,- 0.30,48
J.J. Spaun,14,- 0.00,45,- 0.04,37,- 0.58,52,- 0.02,41,- 0.55,58,0.25,22,- 0.32,49
Mackenzie Hughes,14,- 0.87,61,0.20,26,- 0.27,47,- 0.34,55,0.38,9,-0.08,42,- 0.34,50
Cam Davis,10,- 0.22,52,0.68,12,- 0.06,40,0.23,25,- 0.53,57,-0.38,49,- 0.42,51
Maverick McNealy,14,- 0.26,54,- 0.08,40,- 0.43,51,- 0.17,50,- 0.09,33,-0.01,36,- 0.42,52
Nick Dunlap,4,- 0.38,56,- 0.52,54,- 1.18,58,- 0.45,59,- 0.29,51,0.56,14,- 0.63,53
Eric Cole,6,- 1.13,63,0.15,29,- 0.79,55,- 0.49,60,0.01,26,0.12,30,- 0.64,54
Taylor Pendrith,6,- 0.03,46,- 0.60,55,- 0.10,41,- 0.31,54,0.32,11,-0.68,58,- 0.68,55
Si woo Kim,27,0.16,33,0.04,33,0.42,30,0.10,32,0.21,19,-1.15,61,- 0.73,56
Aaron Rai,6,- 0.19,50,0.91,8,0.47,28,0.36,17,- 0.26,46,-1.35,62,- 0.82,57
Alex Smalley,6,0.55,13,0.07,32,0.97,14,0.31,21,0.31,12,-1.84,63,- 0.84,58
Matthieu Pavon,4,- 0.09,49,- 0.93,59,- 1.27,59,- 0.51,61,- 0.25,45,0.14,29,- 1.13,59
Sepp Straka,12,- 0.23,53,- 1.07,61,- 1.98,63,- 0.65,62,- 0.67,60,-0.00,35,- 1.96,60
J.T. Poston,12,- 0.56,60,- 1.04,60,- 1.78,62,- 0.80,63,- 0.18,41,-0.20,43,- 1.97,61
Daniel Berger,2,0.23,27,- 1.09,62,- 1.59,61,- 0.43,58,- 0.73,63,-0.39,50,- 1.98,62
Min Woo Lee,8,- 1.07,62,0.25,24,- 1.44,60,- 0.41,57,- 0.68,61,-1.09,59,- 2.52,63
